case_seed, iteration, entropy, p01, p10, bias, scc, noxor_h_orig, err, percent_err, alg_idx, algorithm
5168a6c0f3e6432f908577020be38d27c8219094eaeaaa407186ab56d0001481, 53, 0.025000, 0.612025, 0.017578, 0.972081, 0.370397, 0.015955, -0.009045, 36.180000, 3, tCompression Test Estimate
4c84273411c759a2350e6c338c66dc1e67380741e997433c02ab99cf6a50d3fc, 54, 0.025000, 0.387654, 0.017578, 0.956622, 0.594768, 0.019721, -0.005279, 21.116000, 4, T-Tuple Test Estimate
6e3dffeed0d24880843cbef4500a1471ac935cb11dcc51a7ca2468aae8a9ca70, 55, 0.025000, 0.108547, 0.017578, 0.860629, 0.873875, 0.015390, -0.009610, 38.440000, 4, T-Tuple Test Estimate
27ffbaf7ce463dd8dcaa204c6f19a6000c289126fe30b178e923805a15378262, 56, 0.025000, 0.017578, 0.954526, 0.018083, 0.027896, 0.016917, -0.008083, 32.332000, 4, T-Tuple Test Estimate
a14f4b54a4bbe9b59f12eba7c247157118fc7fb77bf1a6a9287d16ac0a3cac2d, 57, 0.025000, 0.017578, 0.882718, 0.019525, 0.099704, 0.020276, -0.004724, 18.896000, 4, T-Tuple Test Estimate
2f8724c076aaca4c078664a013780002b06a705f1298deae29f39cab717fd0b5, 58, 0.025000, 0.017578, 0.868755, 0.019832, 0.113667, 0.020882, -0.004118, 16.472000, 4, T-Tuple Test Estimate
cc09694e12bb3d58b78ceedd33976a1995d8a5fd40a02f91bcb1285519fe92f8, 59, 0.025000, 0.300767, 0.017578, 0.944783, 0.681654, 0.020540, -0.004460, 17.840000, 3, tCompression Test Estimate
298307b3765d15759d4e14b13f0aace5d028d251ef7d60b387307f1005f42205, 60, 0.025000, 0.973940, 0.017578, 0.982272, 0.008482, 0.016691, -0.008309, 33.236000, 3, tCompression Test Estimate
682291da980d38a273d87dfbd5a237d503c122756fc33191905e1b9d9c8c444c, 61, 0.025000, 0.017578, 0.881369, 0.019554, 0.101053, 0.020873, -0.004127, 16.508000, 4, T-Tuple Test Estimate
71fd9d3f5fe75432da49a81c3b33571c1dbd39613692bb734194c500173de3e4, 62, 0.025000, 0.017578, 0.856074, 0.020120, 0.126348, 0.016615, -0.008385, 33.540000, 3, tCompression Test Estimate
cc8f2ee381ea0cfa94bd446b843f252cf8a14aa22e7d40e0438b947e226b68bd, 63, 0.025000, 0.396329, 0.017578, 0.957531, 0.586093, 0.017684, -0.007316, 29.264000, 3, tCompression Test Estimate
2888e6024652e6390eb90ddacd1ca0dab8e9738fe6a7bc220c4ddcb201f6c61d, 64, 0.025000, 0.017578, 0.801656, 0.021457, 0.180766, 0.020777, -0.004223, 16.892000, 3, tCompression Test Estimate
893c51b9aa6af3b29cf55835a993c6aad52e9c331fd7fc2f3418ac7d19cfb962, 65, 0.025000, 0.670527, 0.017578, 0.974454, 0.311895, 0.021142, -0.003858, 15.432000, 3, tCompression Test Estimate
e515faee8ad1938ab09081d9fa0341ccf7b6c781f4ebb66bd01e9286b2fe52f0, 66, 0.025000, 0.250812, 0.017578, 0.934505, 0.731610, 0.017518, -0.007482, 29.928000, 3, tCompression Test Estimate
b875079c01e36b0072fdbe808fdff12fd46e02be2e41a6e4467b30a88f52a652, 67, 0.025000, 0.017578, 0.536846, 0.031705, 0.445576, 0.017363, -0.007637, 30.548000, 4, T-Tuple Test Estimate
f3d8b573762ba67b8252851324f0fa0c5dcf6d39d52940cb92ad288424ded28c, 68, 0.025000, 0.017578, 0.707206, 0.024253, 0.275216, 0.014834, -0.010166, 40.664000, 4, T-Tuple Test Estimate
9d91eb35f01369c8edd81e87536bba8a48348d77e22532c0b7ed1c5ecd91b400, 69, 0.025000, 0.250355, 0.017578, 0.934394, 0.732067, 0.016057, -0.008943, 35.772000, 3, tCompression Test Estimate
e456968c1d9ba0d3b07c236128d2c222877ebf6cfd5a5a35b883becf4d3fd561, 70, 0.025000, 0.193102, 0.017578, 0.916565, 0.789320, 0.020733, -0.004267, 17.068000, 3, tCompression Test Estimate
8df0500d9e035dab779b6b493d448690e84d27b896b70dd0ee9589a44bfad5d3, 71, 0.025000, 0.972471, 0.996094, 0.494000, -0.968565, 0.021275, -0.003725, 14.900000, 3, tCompression Test Estimate
a13e21086501ce336eb15f07059f184e20f9d7df19e209b9877fd8910940804b, 72, 0.025000, 0.274701, 0.017578, 0.939858, 0.707721, 0.012234, -0.012766, 51.064000, 4, T-Tuple Test Estimate
a82bfd76dfaeb63fd41984d455887dd777ac661e1804757d15fe163c33eecf2f, 73, 0.025000, 0.016602, 0.033069, 0.334233, 0.950329, 0.009600, -0.015400, 61.600000, 4, T-Tuple Test Estimate
76d8c7721903605f2cca4d287801d6274a8910477e474d7728c1f0939b5896e5, 74, 0.025000, 0.672653, 0.017578, 0.974533, 0.309769, 0.017087, -0.007913, 31.652000, 3, tCompression Test Estimate
953a871b20cebdb077fea3d1151c84b0a5a71796e0f3528df2159a1852a0e3e1, 75, 0.025000, 0.666429, 0.017578, 0.974301, 0.315993, 0.020821, -0.004179, 16.716000, 4, T-Tuple Test Estimate
86c13748e6743082f7202fd0e125c397991c28859787e5c58b40128be09ec780, 76, 0.025000, 0.964530, 0.017578, 0.982102, 0.017891, 0.013915, -0.011085, 44.340000, 4, T-Tuple Test Estimate
878ed69d3aacf995f2e913eeb0fa5a9c06ae05ab08abb23f3472eb18892a47d1, 77, 0.025000, 0.017578, 0.684111, 0.025051, 0.298311, 0.020372, -0.004628, 18.512000, 3, tCompression Test Estimate
72d378525bbd45e3d090a1aee661c4ded0f7fc1565a4ca2f8126a7a8dd1d6d4e, 78, 0.025000, 0.017578, 0.568703, 0.029982, 0.413718, 0.017018, -0.007982, 31.928000, 3, tCompression Test Estimate
4ee735fdd7244917341142a4bfaf5ca193416573884c6f21e6904494875970e1, 79, 0.025000, 0.247074, 0.017578, 0.933580, 0.735348, 0.015577, -0.009423, 37.692000, 3, tCompression Test Estimate
6f9f3dd0b3e6ea385d1ecb462f15dbde0e4cb2115da3541d207692f6b8a1729a, 80, 0.025000, 0.017578, 0.677974, 0.025272, 0.304448, 0.009419, -0.015581, 62.324000, 4, T-Tuple Test Estimate
628a984552ec6209e58a35fc57c4a1407b9edb072be5c5cf2e5b34f4a0f92e5b, 81, 0.025000, 0.916502, 0.017578, 0.981181, 0.065920, 0.015398, -0.009602, 38.408000, 3, tCompression Test Estimate
5f9b1b5e63f9ed48fb3ff26b9eff61bcb35acd014a7c22ec26fab5abd5c690c8, 82, 0.025000, 0.256566, 0.017578, 0.935880, 0.725856, 0.017469, -0.007531, 30.124000, 3, tCompression Test Estimate
36565c866f0c914d5469ace0e78e027a57740b057c87dac3da2b0bf6cd85bd65, 83, 0.025000, 0.163139, 0.017578, 0.902731, 0.819283, 0.018781, -0.006219, 24.876000, 4, T-Tuple Test Estimate
fca496b7a7ad735efd4bad8c43bd61ffd2f19afc8d64ec61b7822a0bb566b009, 84, 0.025000, 0.017578, 0.692094, 0.024769, 0.290328, 0.016974, -0.008026, 32.104000, 4, T-Tuple Test Estimate
e3c05bb88e1ecc950b699adb146a6807a9863b17053432702c200f2412527fa9, 85, 0.025000, 0.057195, 0.016602, 0.775036, 0.926203, 0.017954, -0.007046, 28.184000, 4, T-Tuple Test Estimate
bc08e86c0895df164d1143e4dafaf38459b5146708d4ef67a4f4622906563499, 86, 0.025000, 0.900076, 0.017578, 0.980844, 0.082346, 0.004753, -0.020247, 80.988000, 4, T-Tuple Test Estimate
279af6ddc62202e12541487d332eca64be7f254f00bdc6f1bf70ed733ed3203a, 87, 0.025000, 0.776550, 0.017578, 0.977865, 0.205872, 0.016204, -0.008796, 35.184000, 3, tCompression Test Estimate
4ee9e547354e682244e8006fa0433badd6754a45f766af0471a52a43fbdec65d, 88, 0.025000, 0.753287, 0.017578, 0.977197, 0.229135, 0.016327, -0.008673, 34.692000, 3, tCompression Test Estimate
caf994bba0c30562615404e08010e02dc0212f234f3172f30f65e9c9ca8e65d6, 89, 0.025000, 0.017578, 0.238917, 0.068532, 0.743505, 0.012898, -0.012102, 48.408000, 4, T-Tuple Test Estimate
2b60f7b246e5ebf005368059b5bbbd6b406cce2ad2861018e870564ed3332b56, 90, 0.025000, 0.017578, 0.715063, 0.023993, 0.267359, 0.015467, -0.009533, 38.132000, 3, tCompression Test Estimate
e6a6bc33f1b0d08bc843b824de3e50b46f1d7ebfa6d00b95e0a24f52691adaff, 91, 0.025000, 0.274317, 0.017578, 0.939779, 0.708105, 0.020601, -0.004399, 17.596000, 3, tCompression Test Estimate
62e23450665f75cd7b3af4275f461a43cc34cd9c0f47f71984596e59b709b3ad, 92, 0.025000, 0.017578, 0.587306, 0.029060, 0.395116, 0.015397, -0.009603, 38.412000, 3, tCompression Test Estimate
d09a17fd37d3ab162bc8eaf11b3b050bcdf59c5916835d1d55e109cecc5bfbb6, 93, 0.025000, 0.017578, 0.782597, 0.021968, 0.199825, 0.017157, -0.007843, 31.372000, 3, tCompression Test Estimate
f4496bf65461aa5ee0de14d56a37ce7618ca0ee4e0f80a95c00c4fe7fbc93fb8, 94, 0.025000, 0.900747, 0.017578, 0.980858, 0.081675, 0.017504, -0.007496, 29.984000, 3, tCompression Test Estimate
